sample,x_grid,conditional_mean_128,drift_per_day_128,mean_abs_difference_64_128,mean_abs_difference_256_128,sign_match_anchor
baseline,-0.0015111411989516307,-0.0015329026364790414,-0.006267294007894282,4.272112121245534e-05,1.4215499034671156e-05,False
baseline,-0.0013008457330480696,-0.001262397435989238,0.011073109552943529,2.069953489344063e-06,2.032803301860696e-06,True
baseline,-0.001200720576518877,-0.0011618010856438144,0.01120881337201806,7.364256609150967e-06,1.3102842464621147e-06,True
baseline,-0.0011406502942706554,-0.0011348094778074688,0.0016821551413977315,3.7907142246122218e-06,1.1019163716180069e-06,True
baseline,-0.001070572858675662,-0.0010430389228322512,0.007929773522902292,4.188748537325895e-06,7.727149941316215e-07,True
baseline,-0.0009804805139614205,-0.0009493603347364356,0.00896261161679563,5.101277503983745e-07,6.311927398637432e-07,True
baseline,-0.0008703786696443615,-0.0008582005864609913,0.003507287956810646,5.550594490379341e-06,2.542729755892776e-07,True
baseline,-0.0008003201707691552,-0.0007774759662563912,0.006579130899676027,4.082027345543885e-06,5.917751167035506e-07,True
baseline,-0.0007102521693672204,-0.0007185309541765988,-0.0023842900251009845,1.5182442241682814e-06,1.4747555539351784e-06,False
baseline,-0.0006602178958794559,-0.0006536748329755353,0.0018844021163291307,6.8681627053663675e-06,1.856582888920457e-06,True
baseline,-0.0006001800720324606,-0.0005857529645327555,0.004155006959915074,6.318355872993349e-06,1.181338087065777e-06,True
baseline,-0.0005601568585632689,-0.0005517961731086248,0.0024078774109375055,3.956006156010869e-06,7.527059899620431e-07,True
baseline,-0.0005101300942339304,-0.0005109786850561536,-0.00024439415680027957,1.182664354127663e-06,4.4035864418248347e-07,False
baseline,-0.0004801152368773121,-0.0004678938361475071,0.0035197634101838404,2.518456786899394e-07,4.620806875504013e-07,True
baseline,-0.00043009247651092477,-0.00043068149877738266,-0.00016963841273987153,1.1954168021519333e-06,6.550200599558255e-07,False
baseline,-0.00040008002133969133,-0.0003863428540181528,0.0039563041886030905,2.2871954886856914e-06,7.591251131376479e-07,True
baseline,-0.0003600648155562272,-0.000355653753413224,0.0012703858971849242,1.8447556604433762e-06,6.669954076812183e-07,True
baseline,-0.00033005446198201805,-0.0003313109826430955,-0.0003618779503903047,8.673477329173749e-07,5.768681008404687e-07,False
baseline,-0.00030004500900199243,-0.00028502414792009933,0.004326007991585213,8.44332688197853e-07,6.994581879795833e-07,True
baseline,-0.00028003920731881727,-0.00026993745028677254,0.0029093060252288836,1.0245847562135799e-06,8.560717146364875e-07,True
baseline,-0.00025003125520928253,-0.00024869065329420615,0.0003860933515419992,9.10265353322936e-07,1.1308154811406337e-06,True
baseline,-0.0002100220530875298,-0.00021879362538024084,-0.002526212820300783,2.2170448973470665e-07,1.448397553041516e-06,False
baseline,-0.0002000200026670447,-0.00018399338156815947,0.004615666876478945,8.938197017166255e-07,1.378702307002714e-06,True
baseline,-0.00019001805228668268,-0.00017643318701867798,0.003912441197185355,1.1281214804341987e-06,1.285536411735409e-06,True
baseline,-0.0001600128013655462,-0.00015657105984525252,0.0009912215578445792,1.6611143256048063e-06,9.431355329759768e-07,True
baseline,-0.0001400098009147917,-0.00014314577197770795,-0.0009031596661198803,1.9298839686115944e-06,6.703175872187358e-07,False
baseline,-0.00011000605044375778,-0.0001221296410665799,-0.0034915940993727724,2.1895078916128426e-06,2.7080435020660734e-07,False
baseline,-0.00010000500033334732,-7.959331721085606e-05,0.005878564739277484,2.148492660540788e-06,4.058271962785226e-07,True
baseline,-0.00010000500033334732,-7.959331721085606e-05,0.005878564739277484,2.148492660540788e-06,4.058271962785226e-07,True
