period,model,horizon_minutes,n_pairs,mean_log_copula_score
training_2021_2023,SingleGaussian,5,314590,1.5757181415820558
training_2021_2023,SingleGaussian,10,314505,1.6943075224106257
training_2021_2023,SingleGaussian,30,314332,1.4956974054956056
training_2021_2023,SingleGaussian,60,314239,1.2702500626365545
training_2021_2023,SingleGaussian,120,314188,1.00994605754847
training_2021_2023,SingleGaussian,360,314091,0.5971880220454663
training_2021_2023,SingleGaussian,equal_horizon_mean,1885945,1.2738512019531296
training_2021_2023,SingleMixed,5,314590,1.5623166202599965
training_2021_2023,SingleMixed,10,314505,1.7149516791924584
training_2021_2023,SingleMixed,30,314332,1.5517449195958477
training_2021_2023,SingleMixed,60,314239,1.3317830729772961
training_2021_2023,SingleMixed,120,314188,1.0689972430729644
training_2021_2023,SingleMixed,360,314091,0.6400543613787902
training_2021_2023,SingleMixed,equal_horizon_mean,1885945,1.311641316079559
training_2021_2023,TwoScaleGaussian,5,314590,1.8326093856930739
training_2021_2023,TwoScaleGaussian,10,314505,1.7317932704237462
training_2021_2023,TwoScaleGaussian,30,314332,1.5112574378690664
training_2021_2023,TwoScaleGaussian,60,314239,1.3426589758796392
training_2021_2023,TwoScaleGaussian,120,314188,1.154104665658346
training_2021_2023,TwoScaleGaussian,360,314091,0.8746212134042363
training_2021_2023,TwoScaleGaussian,equal_horizon_mean,1885945,1.4078408248213512
training_2021_2023,TwoScaleMixed,5,314590,1.8530332736342758
training_2021_2023,TwoScaleMixed,10,314505,1.7628264707771983
training_2021_2023,TwoScaleMixed,30,314332,1.576277513259336
training_2021_2023,TwoScaleMixed,60,314239,1.4315909060010636
training_2021_2023,TwoScaleMixed,120,314188,1.2676907656882828
training_2021_2023,TwoScaleMixed,360,314091,0.982534637972065
training_2021_2023,TwoScaleMixed,equal_horizon_mean,1885945,1.4789922612220368
validation_2024,SingleGaussian,5,105118,2.347150974562672
validation_2024,SingleGaussian,10,105098,2.108858204703824
validation_2024,SingleGaussian,30,105075,1.6806448023660927
validation_2024,SingleGaussian,60,105044,1.392439763065242
validation_2024,SingleGaussian,120,104994,1.0995012011446226
validation_2024,SingleGaussian,360,104837,0.6496316373816321
validation_2024,SingleGaussian,equal_horizon_mean,630166,1.5463710972040141
validation_2024,SingleMixed,5,105118,2.408407575195071
validation_2024,SingleMixed,10,105098,2.163015119537615
validation_2024,SingleMixed,30,105075,1.7337115316423275
validation_2024,SingleMixed,60,105044,1.4467001064478762
validation_2024,SingleMixed,120,104994,1.1519814531185804
validation_2024,SingleMixed,360,104837,0.6878203787216206
validation_2024,SingleMixed,equal_horizon_mean,630166,1.5986060274438483
validation_2024,TwoScaleGaussian,5,105118,2.2129710413552632
validation_2024,TwoScaleGaussian,10,105098,2.015408737145248
validation_2024,TwoScaleGaussian,30,105075,1.7300929899014088
validation_2024,TwoScaleGaussian,60,105044,1.5144320576852233
validation_2024,TwoScaleGaussian,120,104994,1.2782520458100317
validation_2024,TwoScaleGaussian,360,104837,0.9132280892993951
validation_2024,TwoScaleGaussian,equal_horizon_mean,630166,1.610730826866095
validation_2024,TwoScaleMixed,5,105118,2.2547509669567165
validation_2024,TwoScaleMixed,10,105098,2.0635141323696176
validation_2024,TwoScaleMixed,30,105075,1.7894329735775094
validation_2024,TwoScaleMixed,60,105044,1.5793513853793115
validation_2024,TwoScaleMixed,120,104994,1.3475534035493004
validation_2024,TwoScaleMixed,360,104837,0.9638209610707179
validation_2024,TwoScaleMixed,equal_horizon_mean,630166,1.6664039704838622
test_2025,SingleGaussian,5,104900,2.1401590748133907
test_2025,SingleGaussian,10,104887,1.929099145969324
test_2025,SingleGaussian,30,104860,1.536278044956417
test_2025,SingleGaussian,60,104836,1.2545183116526137
test_2025,SingleGaussian,120,104787,0.9610279200524534
test_2025,SingleGaussian,360,104662,0.5152496349834661
test_2025,SingleGaussian,equal_horizon_mean,628932,1.389388688737944
test_2025,SingleMixed,5,104900,2.160259653517616
test_2025,SingleMixed,10,104887,1.9637994490880248
test_2025,SingleMixed,30,104860,1.5926014594356157
test_2025,SingleMixed,60,104836,1.3175622442642454
test_2025,SingleMixed,120,104787,1.0232258909268048
test_2025,SingleMixed,360,104662,0.5582912012743773
test_2025,SingleMixed,equal_horizon_mean,628932,1.435956649751114
test_2025,TwoScaleGaussian,5,104900,1.9937428532966563
test_2025,TwoScaleGaussian,10,104887,1.8171689222209226
test_2025,TwoScaleGaussian,30,104860,1.6103009557677774
test_2025,TwoScaleGaussian,60,104836,1.45919039554486
test_2025,TwoScaleGaussian,120,104787,1.2666797355643558
test_2025,TwoScaleGaussian,360,104662,0.891168167831564
test_2025,TwoScaleGaussian,equal_horizon_mean,628932,1.506375171704356
test_2025,TwoScaleMixed,5,104900,2.0241443846260387
test_2025,TwoScaleMixed,10,104887,1.8565639214155416
test_2025,TwoScaleMixed,30,104860,1.6689723542624155
test_2025,TwoScaleMixed,60,104836,1.5332057247640019
test_2025,TwoScaleMixed,120,104787,1.3577290899877434
test_2025,TwoScaleMixed,360,104662,0.9863345426946418
test_2025,TwoScaleMixed,equal_horizon_mean,628932,1.5711583362917303
