specification,start_utc,end_utc,peak_utc,direction,start_price,peak_price,max_abs_deviation,recovery_minutes,censored,b_out,b_in
baseline_50_25bp,2021-01-04 06:50:00+00:00,2021-01-04 07:25:00+00:00,2021-01-04 06:50:00+00:00,premium,1.0051,1.0051,0.0051000000000001044,35.0,False,0.005,0.0025
baseline_50_25bp,2021-04-18 03:45:00+00:00,2021-04-18 04:50:00+00:00,2021-04-18 03:50:00+00:00,premium,1.0074,1.0076,0.007600000000000051,65.0,False,0.005,0.0025
baseline_50_25bp,2021-12-04 05:40:00+00:00,2021-12-04 05:50:00+00:00,2021-12-04 05:40:00+00:00,premium,1.0059,1.0059,0.005900000000000016,10.0,False,0.005,0.0025
baseline_50_25bp,2022-05-12 03:25:00+00:00,2022-05-12 16:30:00+00:00,2022-05-12 07:15:00+00:00,discount,0.995,0.9504,0.04959999999999998,785.0,False,0.005,0.0025
baseline_50_25bp,2022-11-10 11:00:00+00:00,2022-11-10 15:15:00+00:00,2022-11-10 12:20:00+00:00,discount,0.9931,0.9761,0.023900000000000032,255.0,False,0.005,0.0025
baseline_50_25bp,2023-03-11 00:45:00+00:00,2023-03-11 04:50:00+00:00,2023-03-11 02:15:00+00:00,premium,1.0051,1.0118,0.011800000000000033,245.0,False,0.005,0.0025
baseline_50_25bp,2023-03-14 05:40:00+00:00,2023-03-14 14:30:00+00:00,2023-03-14 12:55:00+00:00,premium,1.0053,1.0064,0.006399999999999961,530.0,False,0.005,0.0025
baseline_50_25bp,2025-10-10 22:30:00+00:00,2025-10-10 23:15:00+00:00,2025-10-10 22:35:00+00:00,premium,1.00538,1.00662,0.00662000000000007,45.0,False,0.005,0.0025
25_10bp,2021-01-02 02:00:00+00:00,2021-01-02 16:00:00+00:00,2021-01-02 02:25:00+00:00,premium,1.0026,1.0027,0.0026999999999999247,840.0,False,0.0025,0.001
25_10bp,2021-01-04 06:15:00+00:00,2021-01-04 08:00:00+00:00,2021-01-04 06:50:00+00:00,premium,1.0026,1.0051,0.0051000000000001044,105.0,False,0.0025,0.001
25_10bp,2021-01-05 19:10:00+00:00,2021-01-07 08:35:00+00:00,2021-01-06 07:15:00+00:00,premium,1.0026,1.0039,0.0039000000000000146,2245.0,False,0.0025,0.001
25_10bp,2021-01-12 13:15:00+00:00,2021-01-12 13:20:00+00:00,2021-01-12 13:15:00+00:00,discount,0.9974,0.9974,0.0026000000000000467,5.0,False,0.0025,0.001
25_10bp,2021-02-08 13:00:00+00:00,2021-02-08 16:05:00+00:00,2021-02-08 13:00:00+00:00,premium,1.0029,1.0029,0.0028999999999999027,185.0,False,0.0025,0.001
25_10bp,2021-02-10 12:45:00+00:00,2021-02-10 13:30:00+00:00,2021-02-10 12:45:00+00:00,premium,1.0029,1.0029,0.0028999999999999027,45.0,False,0.0025,0.001
25_10bp,2021-02-23 11:20:00+00:00,2021-02-23 11:25:00+00:00,2021-02-23 11:20:00+00:00,premium,1.003,1.003,0.0029999999999998916,5.0,False,0.0025,0.001
25_10bp,2021-04-16 14:45:00+00:00,2021-04-16 23:30:00+00:00,2021-04-16 14:45:00+00:00,premium,1.0026,1.0026,0.0025999999999999357,525.0,False,0.0025,0.001
25_10bp,2021-04-18 03:40:00+00:00,2021-04-19 11:10:00+00:00,2021-04-18 03:50:00+00:00,premium,1.0045,1.0076,0.007600000000000051,1890.0,False,0.0025,0.001
25_10bp,2021-05-19 13:25:00+00:00,2021-05-20 01:10:00+00:00,2021-05-19 14:05:00+00:00,premium,1.0035,1.0046,0.0045999999999999375,705.0,False,0.0025,0.001
