period,model,horizon_minutes,threshold,bin,mean_predicted_probability,observed_frequency,nobs
validation_2024,RandomWalk,5,0.001,0,4.898755745121321e-09,0.00011890889200694428,84098
validation_2024,RandomWalk,5,0.001,1,0.12229367402315601,0.12931116389548694,10525
validation_2024,RandomWalk,5,0.001,2,0.9817461041728053,0.975514481707317,10496
validation_2024,RandomWalk,5,0.0025,0,0.0008255450567309757,0.0007039640788059247,105119
validation_2024,NestedOU_proxy,5,0.001,0,3.5572173505517045e-09,0.00011889192723814053,84110
validation_2024,NestedOU_proxy,5,0.001,1,0.11136459859329932,0.12915515763406038,10499
validation_2024,NestedOU_proxy,5,0.001,2,0.9781284906943244,0.9746907706945765,10510
validation_2024,NestedOU_proxy,5,0.0025,0,0.0007868631884580923,0.0007039640788059247,105119
validation_2024,OUF,5,0.001,0,3.7802444483043856e-09,0.00011890747809129716,84099
validation_2024,OUF,5,0.001,1,0.11482473545439359,0.12932345115925503,10524
validation_2024,OUF,5,0.001,2,0.9794981018842429,0.975514481707317,10496
validation_2024,OUF,5,0.0025,0,0.0007966450188656145,0.0007039640788059247,105119
validation_2024,MOUF,5,0.001,0,0.000413731745340088,7.499062617172853e-05,13335
validation_2024,MOUF,5,0.001,1,0.00043928813695857103,0.0,8743
validation_2024,MOUF,5,0.001,2,0.00045088270409160126,0.0001161642562583493,17217
validation_2024,MOUF,5,0.001,3,0.0004593906981738697,0.00024295432458697764,4116
validation_2024,MOUF,5,0.001,4,0.0005311584566627028,0.0004929751047572097,16228
validation_2024,MOUF,5,0.001,5,0.0006082171574262593,0.0005390835579514825,5565
validation_2024,MOUF,5,0.001,6,0.0008956392381592388,0.0014292520247737017,8396
validation_2024,MOUF,5,0.001,7,0.001199571462156649,0.00025233409033560434,11889
validation_2024,MOUF,5,0.001,8,0.1329956774670325,0.1481683980317113,9145
validation_2024,MOUF,5,0.001,9,0.9734439057293222,0.9752026704816404,10485
validation_2024,MOUF,5,0.0025,0,8.096275592632672e-09,5.801810164771409e-05,17236
validation_2024,MOUF,5,0.0025,1,9.46101689641114e-09,0.0,8629
