period,model,horizon_minutes,nobs,MAE,RMSE,NLS,CRPS,direction_accuracy,threshold,Brier,event_log_score,AUC
validation_2024,RandomWalk,5,105119,2.815652103522683e-05,5.238727045549106e-05,-8.462272877500935,2.4502782426045923e-05,0.2309002178483433,0.001,0.00897789212884028,0.038155140238127945,0.9982309675378517
validation_2024,RandomWalk,5,105119,2.815652103522683e-05,5.238727045549106e-05,-8.462272877500935,2.4502782426045923e-05,0.2309002178483433,0.0025,0.0002708848869103895,0.002587554259701838,0.9996195324269007
validation_2024,RandomWalk,5,105119,2.815652103522683e-05,5.238727045549106e-05,-8.462272877500935,2.4502782426045923e-05,0.2309002178483433,0.005,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,RandomWalk,5,105119,2.815652103522683e-05,5.238727045549106e-05,-8.462272877500935,2.4502782426045923e-05,0.2309002178483433,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,NestedOU_proxy,5,105119,2.8613327439455628e-05,5.237421306479453e-05,-8.462379294598136,2.4523125717976694e-05,0.39143256690037004,0.001,0.009067325780763478,0.038268284559268,0.9982220769253706
validation_2024,NestedOU_proxy,5,105119,2.8613327439455628e-05,5.237421306479453e-05,-8.462379294598136,2.4523125717976694e-05,0.39143256690037004,0.0025,0.0002597451891118437,0.0025969107833916333,0.9996159303670371
validation_2024,NestedOU_proxy,5,105119,2.8613327439455628e-05,5.237421306479453e-05,-8.462379294598136,2.4523125717976694e-05,0.39143256690037004,0.005,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,NestedOU_proxy,5,105119,2.8613327439455628e-05,5.237421306479453e-05,-8.462379294598136,2.4523125717976694e-05,0.39143256690037004,0.01,1.0000000000000001e-24,1.0000000000005004e-12,
validation_2024,OUF,5,105119,2.8460111217918608e-05,5.23473568780633e-05,-8.463053625549515,2.449431527814156e-05,0.3912137672542547,0.001,0.009040164981096162,0.03824467705696791,0.9982231831857922
validation_2024,OUF,5,105119,2.8460111217918608e-05,5.23473568780633e-05,-8.463053625549515,2.449431527814156e-05,0.3912137672542547,0.0025,0.00026229070936190216,0.002593001916029199,0.9996160590120321
