model,family,mixed_reset,kappa,lambda,df,n_parameters,objective_mean_log_copula,converged,optimizer_message,repeated_best_solutions,boundary_hit,df_profile_boundary,df_profile_grid,weak_identification,max_pairs_per_horizon,multistart,markov_semigroup_status
Gaussian,Gaussian,False,1.524130545496385,0.0,,1,0.8928895109922935,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,6,False,False,,False,40000,6,exact
GaussianMixed,Gaussian,True,1.239444958332717,0.06399078014865835,,2,0.9309861621752725,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,6,False,False,,False,40000,6,exact_poisson_mixture
StudentT,StudentT,False,0.5175516559511542,0.0,2.05,2,1.2115462548062554,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,6,False,True,"[2.05, 2.1, 2.25, 2.5, 3.0, 4.0, 5.0, 8.0, 15.0, 30.0, 100.0]",True,40000,6,discrete-horizon diagnostic; semigroup not established
StudentTMixed,StudentT,True,0.5175306347276717,6.14421235332821e-06,2.05,3,1.2115458288035652,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,2,True,True,"[2.05, 2.1, 2.25, 2.5, 3.0, 4.0, 5.0, 8.0, 15.0, 30.0, 100.0]",True,40000,6,discrete-horizon diagnostic; semigroup not established
Frank,Frank,False,20.115375697343996,0.0,,1,0.5298807375445653,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3,False,False,,False,40000,6,discrete-horizon diagnostic; semigroup not established
FrankMixed,Frank,True,0.0008496687198598425,14.028645021087069,,2,1.217038726378588,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1,False,False,,True,40000,6,discrete-horizon diagnostic; semigroup not established
Clayton,Clayton,False,27.569686375857486,0.0,,1,0.5022727256738678,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3,False,False,,False,40000,6,discrete-horizon diagnostic; semigroup not established
ClaytonMixed,Clayton,True,0.0006604398241661768,14.859827525558122,,2,1.2013277731471048,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1,False,False,,True,40000,6,discrete-horizon diagnostic; semigroup not established
SurvivalClayton,SurvivalClayton,False,28.008369632766392,0.0,,1,0.5040303931581445,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3,False,False,,False,40000,6,discrete-horizon diagnostic; semigroup not established
SurvivalClaytonMixed,SurvivalClayton,True,0.0006365793110120936,14.504603582658449,,2,1.2200616143769547,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1,False,False,,True,40000,6,discrete-horizon diagnostic; semigroup not established
Gumbel,Gumbel,False,18.148054832093422,0.0,,1,0.6206013145047123,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3,False,False,,False,40000,6,discrete-horizon diagnostic; semigroup not established
GumbelMixed,Gumbel,True,0.0010668358526137638,14.672560230153064,,2,1.1716997000804914,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,1,False,False,,True,40000,6,discrete-horizon diagnostic; semigroup not established
SurvivalGumbel,SurvivalGumbel,False,18.01293691762453,0.0,,1,0.6205957735890376,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,3,False,False,,False,40000,6,discrete-horizon diagnostic; semigroup not established
SurvivalGumbelMixed,SurvivalGumbel,True,0.00012340980408667956,14.932770431192585,,2,1.1554877754126776,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,6,True,False,,True,40000,6,discrete-horizon diagnostic; semigroup not established
