period,model_mixed,marginal,copula_mixed,horizon_minutes,n_pairs_mixed,finite_score_coverage_mixed,mean_log_score_mixed,comparison_group_mixed,evaluation_error_mixed,copula_family,model_base,copula_base,n_pairs_base,finite_score_coverage_base,mean_log_score_base,comparison_group_base,evaluation_error_base,mixed_minus_base_log_score
training_2021_2023,Normal_GaussianMixed,Normal,GaussianMixed,5,40000,1.0,7.978262277426327,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,7.881620687394851,log_price_density,,0.0966415900314761
training_2021_2023,Normal_GaussianMixed,Normal,GaussianMixed,60,40000,1.0,6.994242032959199,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,6.905141582078798,log_price_density,,0.08910045088040075
training_2021_2023,Normal_GaussianMixed,Normal,GaussianMixed,360,40000,1.0,6.257771810925432,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,6.192310307241798,log_price_density,,0.06546150368363346
training_2021_2023,Normal_GaussianMixed,Normal,GaussianMixed,1440,40000,1.0,5.805307378278455,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,5.772291446971887,log_price_density,,0.03301593130656766
validation_2024,Normal_GaussianMixed,Normal,GaussianMixed,5,40000,1.0,8.34724165058001,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,8.253958856569476,log_price_density,,0.09328279401053408
validation_2024,Normal_GaussianMixed,Normal,GaussianMixed,60,40000,1.0,7.184052265999373,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,7.10926329595665,log_price_density,,0.07478897004272334
validation_2024,Normal_GaussianMixed,Normal,GaussianMixed,360,40000,1.0,6.418647572669293,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,6.358244028015346,log_price_density,,0.060403544653947705
validation_2024,Normal_GaussianMixed,Normal,GaussianMixed,1440,40000,1.0,6.000710223158494,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,5.971264923621757,log_price_density,,0.02944529953673669
test_2025,Normal_GaussianMixed,Normal,GaussianMixed,5,40000,1.0,8.4345869668493,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,8.34840854788265,log_price_density,,0.08617841896665013
test_2025,Normal_GaussianMixed,Normal,GaussianMixed,60,40000,1.0,7.269937269557986,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,7.177380195672567,log_price_density,,0.0925570738854189
test_2025,Normal_GaussianMixed,Normal,GaussianMixed,360,40000,1.0,6.492072214872863,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,6.426601025042502,log_price_density,,0.06547118983036082
test_2025,Normal_GaussianMixed,Normal,GaussianMixed,1440,40000,1.0,6.113182791387431,log_price_density,,Gaussian,Normal_Gaussian,Gaussian,40000,1.0,6.090368666455685,log_price_density,,0.02281412493174617
