period,model,horizon_minutes,n_pairs,finite_score_coverage,mean_log_score,comparison_group,evaluation_error,density_evaluation,marginal,copula
training_2021_2023,OUF,5,40000,1.0,7.803625973973006,log_price_density,,,,
training_2021_2023,OUF,60,40000,1.0,6.72220317418593,log_price_density,,,,
training_2021_2023,OUF,360,40000,1.0,6.117424040766118,log_price_density,,,,
training_2021_2023,OUF,1440,40000,1.0,5.742140870462752,log_price_density,,,,
validation_2024,OUF,5,40000,1.0,8.221317680475629,log_price_density,,,,
validation_2024,OUF,60,40000,1.0,7.0651598709967685,log_price_density,,,,
validation_2024,OUF,360,40000,1.0,6.292638618482012,log_price_density,,,,
validation_2024,OUF,1440,40000,1.0,5.878244195177973,log_price_density,,,,
test_2025,OUF,5,40000,1.0,8.304249809116154,log_price_density,,,,
test_2025,OUF,60,40000,1.0,7.123655567648146,log_price_density,,,,
test_2025,OUF,360,40000,1.0,6.340157309042446,log_price_density,,,,
test_2025,OUF,1440,40000,1.0,5.940182615102264,log_price_density,,,,
training_2021_2023,ThresholdOU_Heteroskedastic,5,40000,1.0,7.844943553403499,log_price_density,,,,
training_2021_2023,ThresholdOU_Heteroskedastic,60,40000,1.0,6.781811819333484,log_price_density,,,,
training_2021_2023,ThresholdOU_Heteroskedastic,360,40000,1.0,6.005220780744493,log_price_density,,,,
training_2021_2023,ThresholdOU_Heteroskedastic,1440,40000,1.0,5.134581438126461,log_price_density,,,,
validation_2024,ThresholdOU_Heteroskedastic,5,40000,1.0,8.184525591626498,log_price_density,,,,
validation_2024,ThresholdOU_Heteroskedastic,60,40000,1.0,7.010218032691214,log_price_density,,,,
validation_2024,ThresholdOU_Heteroskedastic,360,40000,1.0,6.1329365730887755,log_price_density,,,,
validation_2024,ThresholdOU_Heteroskedastic,1440,40000,1.0,5.362429649832355,log_price_density,,,,
test_2025,ThresholdOU_Heteroskedastic,5,40000,1.0,8.27763403734798,log_price_density,,,,
test_2025,ThresholdOU_Heteroskedastic,60,40000,1.0,7.077883614584031,log_price_density,,,,
test_2025,ThresholdOU_Heteroskedastic,360,40000,1.0,6.195676982638115,log_price_density,,,,
test_2025,ThresholdOU_Heteroskedastic,1440,40000,1.0,5.4813804268676325,log_price_density,,,,
training_2021_2023,MOUF,5,40000,1.0,8.123342305717665,log_price_density,,,,
training_2021_2023,MOUF,60,40000,1.0,7.18595904336933,log_price_density,,,,
training_2021_2023,MOUF,360,40000,1.0,6.051347491799072,log_price_density,,,,
training_2021_2023,MOUF,1440,40000,1.0,4.718711271517596,log_price_density,,,,
validation_2024,MOUF,5,40000,1.0,8.43142010039741,log_price_density,,,,
validation_2024,MOUF,60,40000,1.0,7.203743709974119,log_price_density,,,,
validation_2024,MOUF,360,40000,1.0,6.046629574795192,log_price_density,,,,
validation_2024,MOUF,1440,40000,1.0,4.717236445732471,log_price_density,,,,
test_2025,MOUF,5,40000,1.0,8.537595548575215,log_price_density,,,,
test_2025,MOUF,60,40000,1.0,7.30763771078407,log_price_density,,,,
test_2025,MOUF,360,40000,1.0,6.106662542756407,log_price_density,,,,
test_2025,MOUF,1440,40000,1.0,4.733941318683811,log_price_density,,,,
training_2021_2023,CIR_Price,5,40000,1.0,7.805962716217801,log_price_density,,,,
training_2021_2023,CIR_Price,60,40000,1.0,6.730980732647548,log_price_density,,,,
training_2021_2023,CIR_Price,360,40000,1.0,6.12634914793777,log_price_density,,,,
training_2021_2023,CIR_Price,1440,40000,1.0,5.7577609561518805,log_price_density,,,,
validation_2024,CIR_Price,5,40000,1.0,8.222060436492848,log_price_density,,,,
validation_2024,CIR_Price,60,40000,1.0,7.068035588098621,log_price_density,,,,
validation_2024,CIR_Price,360,40000,1.0,6.3049173729437795,log_price_density,,,,
validation_2024,CIR_Price,1440,40000,1.0,5.91004885386035,log_price_density,,,,
test_2025,CIR_Price,5,40000,1.0,8.305247207500072,log_price_density,,,,
test_2025,CIR_Price,60,40000,1.0,7.127306491227054,log_price_density,,,,
test_2025,CIR_Price,360,40000,1.0,6.3565275903216305,log_price_density,,,,
test_2025,CIR_Price,1440,40000,1.0,5.985509315537237,log_price_density,,,,
training_2021_2023,MCIR,5,40000,1.0,8.030207655630841,log_price_density,,,,
training_2021_2023,MCIR,60,40000,1.0,6.943814315656897,log_price_density,,,,
training_2021_2023,MCIR,360,40000,1.0,6.12501328829883,log_price_density,,,,
training_2021_2023,MCIR,1440,40000,1.0,5.700209083899549,log_price_density,,,,
validation_2024,MCIR,5,40000,1.0,8.243930055658389,log_price_density,,,,
validation_2024,MCIR,60,40000,1.0,7.046480840562741,log_price_density,,,,
validation_2024,MCIR,360,40000,1.0,6.2308252238712845,log_price_density,,,,
validation_2024,MCIR,1440,40000,1.0,5.850768342066257,log_price_density,,,,
test_2025,MCIR,5,40000,1.0,8.30791616364289,log_price_density,,,,
test_2025,MCIR,60,40000,1.0,7.108862150208982,log_price_density,,,,
test_2025,MCIR,360,40000,1.0,6.287643399924462,log_price_density,,,,
test_2025,MCIR,1440,40000,1.0,5.944194310701081,log_price_density,,,,
training_2021_2023,AffineTransformedOU,5,40000,1.0,7.858117068283362,log_price_density,,,,
training_2021_2023,AffineTransformedOU,60,40000,1.0,6.733064358256302,log_price_density,,,,
training_2021_2023,AffineTransformedOU,360,40000,1.0,6.116435614618246,log_price_density,,,,
training_2021_2023,AffineTransformedOU,1440,40000,1.0,5.725168003841788,log_price_density,,,,
validation_2024,AffineTransformedOU,5,40000,1.0,8.416421485726516,log_price_density,,,,
validation_2024,AffineTransformedOU,60,40000,1.0,7.352659597878258,log_price_density,,,,
validation_2024,AffineTransformedOU,360,40000,1.0,6.6029764507571995,log_price_density,,,,
validation_2024,AffineTransformedOU,1440,40000,1.0,6.141133545649154,log_price_density,,,,
test_2025,AffineTransformedOU,5,40000,1.0,8.714838487234804,log_price_density,,,,
test_2025,AffineTransformedOU,60,40000,1.0,7.640621843026128,log_price_density,,,,
test_2025,AffineTransformedOU,360,40000,1.0,6.875396613567361,log_price_density,,,,
test_2025,AffineTransformedOU,1440,40000,1.0,6.4169515348934905,log_price_density,,,,
training_2021_2023,AffineTransformedCIR,5,40000,1.0,7.808273845515678,log_price_density,,,,
training_2021_2023,AffineTransformedCIR,60,40000,1.0,6.739173357069245,log_price_density,,,,
training_2021_2023,AffineTransformedCIR,360,40000,1.0,6.156320253884683,log_price_density,,,,
training_2021_2023,AffineTransformedCIR,1440,40000,1.0,5.784132389765776,log_price_density,,,,
