model,parameter,estimate,converged,weak_identification
OUF,theta,-7.593474103563736e-05,True,False
OUF,kappa,1.0223175484955627,True,False
OUF,sigma,0.0015380162188251866,True,False
ThresholdOU_Heteroskedastic,theta,0.0,True,False
ThresholdOU_Heteroskedastic,kappa_plus,2.0287846631435698,True,False
ThresholdOU_Heteroskedastic,kappa_minus,0.0001582190311284353,True,False
ThresholdOU_Heteroskedastic,sigma_plus,0.001418382302882907,True,False
ThresholdOU_Heteroskedastic,sigma_minus,0.0017934220881622258,True,False
MOUF,theta,0.0007190605046506074,True,False
MOUF,kappa,0.021322230759012403,True,False
MOUF,sigma,0.0011403104133095388,True,False
MOUF,lambda,1.8640346847763505,True,False
CIR_Price,theta,0.9999550399562387,True,True
CIR_Price,kappa,1.1848767244678202,True,True
CIR_Price,sigma,0.0015365104742180726,True,True
MCIR,theta,0.9999550399562387,True,True
MCIR,kappa,1.1848767244678202,True,True
MCIR,sigma,0.0015365104742180726,True,True
MCIR,lambda,0.8333782974444839,True,True
AffineTransformedOU,A0,1.0,True,False
AffineTransformedOU,B0,0.0,True,False
AffineTransformedOU,kappa,0.7900791378271391,True,False
AffineTransformedOU,d,0.7906348074279886,True,False
AffineTransformedOU,sigma,0.0020339024602888025,True,False
AffineTransformedOU,gamma_kappa_minus_d,-0.0005556696008495177,True,False
AffineTransformedCIR,A0,1.0,True,True
AffineTransformedCIR,B0,0.0,True,True
AffineTransformedCIR,theta,0.9999550399562387,True,True
AffineTransformedCIR,kappa,1.1848767244678202,True,True
AffineTransformedCIR,d,1.1850017244678202,True,True
AffineTransformedCIR,sigma,0.0015365104742180726,True,True
AffineTransformedCIR,gamma_kappa_minus_d,-0.000125,True,True
ExponentialTransformedOU,kappa,4.5399929762484854e-05,True,True
ExponentialTransformedOU,sigma,0.0012474919936426988,True,True
ExponentialTransformedOU,d,0.00022846540784554034,True,True
ExponentialTransformedOU,A0,1.206232854082992,True,True
ExponentialTransformedOU,B0,-0.026966000978974315,True,True
ExponentialTransformedOU,C0,5.823105255232103e-06,True,True
SeasonalIntensityMOU,theta,-7.593474103563736e-05,True,True
SeasonalIntensityMOU,kappa,1.0223175484955627,True,True
SeasonalIntensityMOU,sigma,0.0015380162188251866,True,True
SeasonalIntensityMOU,lambda0,0.9118211756168797,True,True
SeasonalIntensityMOU,seasonal_sine,0.7257600846957865,True,True
SeasonalIntensityMOU,seasonal_cosine,0.6096289768371407,True,True
JumpOU,theta,-7.593474103563736e-05,True,False
JumpOU,kappa,1.0223175484955627,True,False
JumpOU,sigma,0.0015380162188251866,True,False
JumpOU,jump_intensity,1.3401667293085997,True,False
JumpOU,jump_mean,-5.475480673591726e-05,True,False
JumpOU,jump_sd,0.0008626615785779864,True,False
FullyTimeVaryingMarginalCopula,mean0,-0.00015084302446893163,True,False
FullyTimeVaryingMarginalCopula,mean_trend,0.00010790411441994757,True,False
FullyTimeVaryingMarginalCopula,mean_sine,0.0002182981402170304,True,False
FullyTimeVaryingMarginalCopula,mean_cosine,1.630642082510293e-05,True,False
FullyTimeVaryingMarginalCopula,log_scale0,-6.7327785733040635,True,False
FullyTimeVaryingMarginalCopula,log_scale_trend,-0.20297065835106423,True,False
FullyTimeVaryingMarginalCopula,kappa,0.7929304113374404,True,False
FullyTimeVaryingMarginalCopula,time_center_days,547.8069877314815,True,False
NestedOU,theta,0.00013923223606894804,True,False
NestedOU,stationary_variance,6.962172365225978e-07,True,False
NestedOU,kappa_slow,0.24292710393842296,True,False
NestedOU,kappa_fast,9.766860417739014,True,False
NestedOU,weight_fast,0.16179264550386113,True,False
NestedOU,sigma_slow,0.0005324773063018073,True,False
NestedOU,sigma_fast,0.0014833521385245777,True,False
MarkovSwitchingOU,theta,0.0007094462999654768,True,True
MarkovSwitchingOU,kappa_1,0.00018315029807229117,True,True
MarkovSwitchingOU,kappa_2,1.5726853660825395,True,True
MarkovSwitchingOU,sigma_1,0.00023112140194793572,True,True
MarkovSwitchingOU,sigma_2,0.0014943215241344943,True,True
MarkovSwitchingOU,p00,0.8369491845145633,True,True
MarkovSwitchingOU,p11,0.7222076908647616,True,True
RandomWalk,step_sd,9.051754482519578e-05,True,False
