sample,model,margin_source,mean,sd,skewness,kurtosis,ks_distance,cvm_distance,tail_abs_gt_1bp,tail_abs_gt_10bp,tail_abs_gt_25bp,tail_abs_gt_50bp,tail_abs_gt_100bp,mean_error_in_empirical_sd,sd_ratio_to_empirical,tail_50bp_ratio_to_empirical,tail_50bp_gate_applicable,stationary_margin_gate
baseline_full,Data,empirical,6.713154816922092e-05,0.0007359264508641077,-2.644494357933408,286.9364580471593,0.0,0.0,0.7616565206207665,0.09832614059656844,0.006706869778120743,0.0015681118827822076,0.0005163527584860003,,,,,
baseline_full,OUF,joint_transition_MLE,0.00012795479207079724,0.000825540296587185,0.0,3.0,0.18870646336768604,0.010791608851281945,0.904731446928053,0.23132690538455208,0.0027588786850585214,2.0616629259601207e-09,3.005231216563131e-33,0.08264853618205881,1.121770111154253,1.3147422378448117e-06,True,False
baseline_full,MOU-Peg,theta_tau_kappa_lambda,0.0,0.0007389819929071605,0.0,3.0,0.1713108158771635,0.008729908828747655,0.8923578492406194,0.17598761044314026,0.0007169018291709873,1.3233235577555048e-11,1.0105334868616807e-41,0.09122045836292013,1.0041519665986527,8.438961354004987e-09,True,False
baseline_full,MOU-IFM,theta_tau_kappa_lambda,6.713154816922092e-05,0.0007359264508641077,0.0,3.0,0.140795350167082,0.007462719454560261,0.8923596796394975,0.17599047736431148,0.0007164820743829541,1.3095316292845501e-11,8.806098877766767e-42,0.0,1.0,8.35100890225464e-09,True,False
baseline_full,MOU-UQML,theta_tau_kappa_lambda,0.0007657495490203584,0.0042405441426762855,0.0,3.0,0.4390216024865091,0.06208540791213501,0.9814903290998069,0.816533157211417,0.5618941009114775,0.2459815021320843,0.02027975899908702,0.9493041050920733,5.762184709758886,156.86476509294346,True,False
baseline_full,LatentNoiseOU-observed,state_space_implied_observed_margin,6.561018224435923e-05,0.0007502878355974096,0.0,3.0,0.14390059796104682,0.007881140277641896,0.8943724594177804,0.184261706995836,0.0009017425399236672,3.136967494187423e-11,2.7958601670574484e-40,0.0020672798525930625,1.0195147011178076,2.0004742828819638e-08,True,False
training_2021_2023,Data,empirical,0.00014360359433683646,0.0008388714600380346,-3.096733300979815,283.83699983445587,0.0,0.0,0.7509809092035494,0.11527231945710846,0.010909934267169486,0.002605167763272853,0.0008609761754231015,,,,,
training_2021_2023,OUF,joint_transition_MLE,0.00012795479207079724,0.000825540296587185,0.0,3.0,0.18635787699376902,0.010655959535761992,0.904731446928053,0.23132690538455208,0.0027588786850585214,2.0616629259601207e-09,3.005231216563131e-33,0.018654588946594625,0.9841082167102869,7.913743425759532e-07,True,False
training_2021_2023,MOU-Peg,theta_tau_kappa_lambda,0.0,0.0007389819929071605,0.0,3.0,0.24131157553260288,0.01285335517109882,0.8923578492406194,0.17598761044314026,0.0007169018291709873,1.3233235577555048e-11,1.0105334868616807e-41,0.17118664918022775,0.8809239890860691,5.079609752628841e-09,True,False
training_2021_2023,MOU-IFM,theta_tau_kappa_lambda,6.713154816922092e-05,0.0007359264508641077,0.0,3.0,0.20530427553187955,0.009413988188190009,0.8923596796394975,0.17599047736431148,0.0007164820743829541,1.3095316292845501e-11,8.806098877766767e-42,0.09116062449442289,0.8772815454119045,5.026669098804582e-09,True,False
