sample,model,nobs_x,loglik,aic,bic,converged,gradient_norm,hessian_condition,weak_identification,likelihood_type,acceptance_pass,nobs_y,pit_mean,pit_variance,pit_ks_stat,pit_ks_pvalue,ljung_box_z_q20,ljung_box_z_p20,ljung_box_z2_q20,ljung_box_z2_p20,lower_1pct_coverage,upper_99pct_coverage,nobs
baseline,CIR_Price,524610.0,4239568.923161349,-8479131.846322699,-8479098.335091474,True,9.592853246280356e-05,51784368.48230651,True,exact_transition,False,150000.0,0.4990682105052141,0.050286909354972,0.2002574279050688,0.0,115.98047469287732,1.5750104169748189e-15,174280.33073614468,0.0,0.0108933333333333,0.01086,
baseline,CIR_DepegPressure,524610.0,4351170.262654961,-8702334.525309922,-8702301.014078697,True,1.2560739745807732e-06,5382.317850266308,False,exact_transition,True,150000.0,0.5145594367796092,0.0470036387092739,0.2020829630244292,0.0,170.8728736146707,5.863338107525341e-26,233647.6683852715,0.0,0.0267933333333333,0.02756,
baseline,MOU0,524610.0,4351515.340115358,-8703024.680230716,-8702991.168999491,True,7.536443847484639e-07,560.262512917018,False,exact_transition,True,,,,,,,,,,,,
baseline,MOUF,524610.0,4351562.036142891,-8703116.072285783,-8703071.39064415,True,1.3053503640027926e-06,167773.6514778487,False,exact_transition,True,524610.0,0.4997790244611893,0.0636952544372007,0.2041791752677653,0.0,50325.53292572991,0.0,630100.8271051195,0.0,0.0133661195936028,0.0123482205829092,
baseline,MCIR,524610.0,4291486.674615513,-8582965.349231025,-8582920.667589393,True,,,True,exact_transition,False,,,,,,,,,,,,
baseline,OU0,524610.0,4207015.019475044,-8414026.038950088,-8414003.69812927,True,1.776356830474485e-07,788.0007094946264,False,exact_transition,True,524610.0,0.5014642958144193,0.0469329026613512,0.2023818110132346,0.0,37671.96420120969,0.0,965693.1162121816,0.0,0.0103905758563504,0.0103543584758201,
baseline,OUF,524610.0,4207021.247905773,-8414036.495811546,-8414002.984580321,True,0.0,2050255.4980561165,False,exact_transition,True,524610.0,0.4998433671319904,0.0469355809138199,0.2042527543535021,0.0,37649.92486560701,0.0,965462.9863740328,0.0,0.0104153561693448,0.0103314843407483,
baseline,ThresholdOU,524610.0,4207018.984467696,-8414031.968935391,-8413998.457704166,True,9.7295071541089e-07,1281.1406265720657,False,Euler_Gaussian_QMLE,True,,,,,,,,,,,,
baseline,ThresholdOU_Heteroskedastic,524610.0,4211719.532593743,-8423431.065187486,-8423386.383545853,True,7.105427400784031e-07,957.3827494599498,False,Euler_Gaussian_QMLE,True,,,,,,,,,,,,
baseline,OUF_irregular_G0_G2,524833.0,4208182.839943858,-8416359.679887716,-8416326.167381529,True,0.0001117346808461,35242133.11196397,False,exact_transition,False,,,,,,,,,,,,
baseline,AffineTransformedOU,,977436.9775026316,-1954867.9550052632,-1954838.869264198,True,4.689716638603837e-06,8164.976406310979,False,exact_transition,True,,,,,,,,,,,,120000.0
baseline,AffineTransformedCIR,,966695.0310180418,-1933382.0620360835,-1933343.2810479968,True,,,True,exact_transition,False,,,,,,,,,,,,120000.0
