asset,evaluation_sample,model,fit_sample,mean_log_observation_probability,cluster_se_log_observation_probability,ci_lower_log_observation_probability,ci_upper_log_observation_probability,mean_log_density_equivalent,nobs,utc_day_clusters,comparison_scale,z_value
USDT,validation_2024,OU-Interval-IFM,training_2021_2023 frozen,-3.316583408789522,0.012659544738077117,-3.3413956605368265,-3.2917711570422172,8.196294585335359,105118,366,discrete observation probability; density equivalent subtracts log bin width,
USDT,validation_2024,MOU-Interval-IFM,training_2021_2023 frozen,-3.042896491549521,0.012752859387849525,-3.0678916366496094,-3.0179013464494324,8.469981502575358,105118,366,discrete observation probability; density equivalent subtracts log bin width,
USDT,validation_2024,MOU-minus-OU paired difference,training_2021_2023 frozen,0.27368691724000005,0.009482719803757153,0.2551011279491513,0.2922727065308488,0.27368691724000005,105118,366,paired model difference; tick-bin width cancels exactly,28.861647597302454
USDT,post_selection_2025,OU-Interval-IFM,training_2021_2023 frozen,-3.249231977786829,0.012366088402617081,-3.273469065685597,-3.2249948898880607,8.263646077718626,104900,365,discrete observation probability; density equivalent subtracts log bin width,
USDT,post_selection_2025,MOU-Interval-IFM,training_2021_2023 frozen,-2.932488407850435,0.007263933088704069,-2.946725455090404,-2.918251360610466,8.580389647655018,104900,365,discrete observation probability; density equivalent subtracts log bin width,
USDT,post_selection_2025,MOU-minus-OU paired difference,training_2021_2023 frozen,0.3167435699363942,0.009455185950812624,0.29821174600567235,0.335275393867116,0.3167435699363942,104900,365,paired model difference; tick-bin width cancels exactly,33.49945432952291
USDC,validation_2024,OU-Interval-IFM,training_2021_2023 frozen,-1.691074486807148,0.0031791970324927627,-1.6973055984905903,-1.6848433751237055,7.519230633503605,102499,366,discrete observation probability; density equivalent subtracts log bin width,
USDC,validation_2024,MOU-Interval-IFM,training_2021_2023 frozen,-1.1334110505849055,0.005344187247243557,-1.1438854651161412,-1.12293663605367,8.076894069725848,102499,366,discrete observation probability; density equivalent subtracts log bin width,
USDC,validation_2024,MOU-minus-OU paired difference,training_2021_2023 frozen,0.5576634362222419,0.004150704721455806,0.5495282044577282,0.5657986679867556,0.5576634362222419,102499,366,paired model difference; tick-bin width cancels exactly,134.35391665891584
USDC,post_selection_2025,OU-Interval-IFM,training_2021_2023 frozen,-1.6725812885258446,0.001489657521584789,-1.67550096361745,-1.6696616134342392,7.537581219847553,78698,275,discrete observation probability; density equivalent subtracts log bin width,
USDC,post_selection_2025,MOU-Interval-IFM,training_2021_2023 frozen,-1.049591497708266,0.003315720647276078,-1.056090190759723,-1.043092804656809,8.160571010665132,78698,275,discrete observation probability; density equivalent subtracts log bin width,
USDC,post_selection_2025,MOU-minus-OU paired difference,training_2021_2023 frozen,0.6229897908175783,0.002311948893496475,0.618458454252228,0.6275211273829286,0.6229897908175783,78698,275,paired model difference; tick-bin width cancels exactly,269.46520858227103
DAI,validation_2024,OU-Interval-IFM,training_2021_2023 frozen,-5.009579577367214,0.10470616258564593,-5.214799884994475,-4.804359269739953,6.502966383107927,23199,366,discrete observation probability; density equivalent subtracts log bin width,
DAI,validation_2024,MOU-Interval-IFM,training_2021_2023 frozen,-4.723771183065304,0.06437123624292386,-4.849936487741755,-4.597605878388854,6.788774777409837,23199,366,discrete observation probability; density equivalent subtracts log bin width,
DAI,validation_2024,MOU-minus-OU paired difference,training_2021_2023 frozen,0.28580839430191035,0.10263316511635576,0.08465108705450045,0.4869657015493203,0.28580839430191035,23199,366,paired model difference; tick-bin width cancels exactly,2.7847567009931717
DAI,post_selection_2025,OU-Interval-IFM,training_2021_2023 frozen,-6.2034020544012245,0.9844622273432989,-8.132912564134173,-4.273891544668276,5.309409567357561,13290,365,discrete observation probability; density equivalent subtracts log bin width,
DAI,post_selection_2025,MOU-Interval-IFM,training_2021_2023 frozen,-4.579253446019759,0.06795375810882555,-4.712440364527204,-4.446066527512315,6.933558175739026,13290,365,discrete observation probability; density equivalent subtracts log bin width,
DAI,post_selection_2025,MOU-minus-OU paired difference,training_2021_2023 frozen,1.6241486083814656,0.9639710920460102,-0.26520001416645966,3.513497230929391,1.6241486083814656,13290,365,paired model difference; tick-bin width cancels exactly,1.684851985482512
