replication,initialization,null_loglik,alternative_loglik,lr,theta_null,kappa_null,sigma_null,theta_alt,kappa_alt,sigma_alt,lambda_alt,alternative_converged,alternative_gradient_norm,ifm_loglik,ifm_theta,ifm_tau,ifm_kappa,ifm_lambda,ifm_converged,ifm_gradient_norm,fit_failed
0,stationary_initial,201539.7419399178,201539.74193991785,1.1641532182693481e-10,-0.00018797268726857396,2.5824863793352772,0.001301066211517111,-0.00018797268727197144,2.5824863793352772,0.0013010662115171111,0.0,True,0.7121347100607278,201539.15526267068,-0.00013489787859201507,0.0005849959047502668,2.4733444634758004,1.522997974471263e-08,True,3.55271366094897e-07,False
1,stationary_initial,201673.05376841713,201673.05376841713,0.0,-0.0001256049305701092,2.8301823322994433,0.0012947016708317203,-0.0001256051635868048,2.8301823322994433,0.0012947016708317201,0.0,True,0.44404853834603913,201672.86544702176,-0.00010008356731822866,0.0005362288963434099,2.9148437162474203,1.522997974471263e-08,True,0.0,False
2,stationary_initial,201484.92524695242,201484.92524695242,0.0,-3.1334964612436885e-05,2.960377852770715,0.001304775135424141,-3.1335264974174876e-05,2.9603778527724867,0.001304775135424922,0.0,True,0.15699426231437175,201484.26472751098,-8.363484552431124e-05,0.0005437003127074055,2.8796911805095373,1.522997974471263e-08,True,1.7763568501960078e-07,False
3,stationary_initial,201854.36192949314,201854.36192949314,0.0,-5.9008937455435614e-05,2.903047800775426,0.0012855081080186985,-5.9009168380968975e-05,2.903047800775426,0.0012855081080186982,0.0,True,0.6806702809507735,201854.32956382973,-6.22910658406702e-05,0.0005277098717361469,2.967085322034994,1.522997974471263e-08,True,3.5527137003920156e-07,False
4,stationary_initial,201484.03091761225,201484.03091761225,0.0,-2.3812547606919068e-05,3.0083236203524497,0.0013049300538371877,-2.381266755000455e-05,3.008323620351757,0.0013049300538368874,0.0,True,0.522022433086215,201483.68243047054,-3.5251970370339155e-06,0.0005156717404510174,3.2019100922521235,1.522997974471263e-08,True,3.5527137003920156e-07,False
5,stationary_initial,201533.33702287896,201533.337022879,5.820766091346741e-11,-4.1278914950375995e-05,3.276563671119335,0.001302963385128915,-4.1279212920163775e-05,3.276563671119335,0.0013029633851295431,0.0,True,0.673805375016133,201532.99419986838,-7.527463925193773e-05,0.0005138361985029397,3.215123139583072,1.522997974471263e-08,True,1.7763568501960078e-07,False
6,stationary_initial,201509.7654924921,201509.7654924921,0.0,-3.2837543360257285e-05,2.43981195907981,0.0013023055194141514,-3.2837543360257285e-05,2.43981195907981,0.0013023055194141514,0.0,True,0.6872383572064488,201509.56435948153,-6.737976202913327e-05,0.0005839317770121686,2.4870160444333926,1.522997974471263e-08,True,1.776356830474485e-07,False
7,stationary_initial,201716.85408276902,201716.85408276902,0.0,-4.9898851708246785e-06,2.8095833078495858,0.0012923892544867983,-4.9902674497679026e-06,2.8095833078495858,0.0012923892544878678,0.0,True,0.6854552523336448,201716.78224882315,1.0716975051213878e-05,0.0005503109687368421,2.7576757995132333,1.522997974471263e-08,True,1.7763568501960078e-07,False
8,stationary_initial,201594.53311690767,201594.53311690767,0.0,-3.810623793735105e-05,2.602176119588324,0.0012982621013237418,-3.810623793735105e-05,2.602176119588324,0.0012982621013237418,0.0,True,0.598434194412967,201593.85238338666,-6.3258425229292e-05,0.0005411909308851902,2.877509378388829,1.522997974471263e-08,True,1.7763568501960078e-07,False
9,stationary_initial,201795.20606592632,201795.20606592632,0.0,1.8548505071469412e-05,2.613227734064881,0.001287907406736586,1.8548212911773077e-05,2.613227734064881,0.0012879074067356502,0.0,True,0.5965805665271451,201795.11915836882,1.643814364504975e-06,0.0005563148573209857,2.6797897373551645,1.522997974471263e-08,True,0.0,False
10,stationary_initial,201636.52114632993,201636.52114632993,0.0,-0.00010228505410437793,2.645587511571828,0.0012961808616032122,-0.000102285057361634,2.645587511571849,0.0012961808616032122,0.0,True,0.6843251337151095,201635.45076284467,-4.927339632064252e-05,0.000536276203708863,2.9211976567465734,1.522997974471263e-08,True,0.0,False
11,stationary_initial,201596.51326530054,201596.51326530054,0.0,5.0566292379195355e-05,2.5395243358186304,0.0012980185017314333,5.0566126215659245e-05,2.539524335817505,0.0012980185017320081,0.0,True,0.6860538833691504,201595.90899334682,5.125538355800884e-05,0.0005465779526841537,2.8199924095264106,1.522997974471263e-08,True,0.0,False
12,stationary_initial,201673.46070238168,201673.46070238174,1.1641532182693481e-10,2.431900860380716e-05,2.9565246625059483,0.001294963657472578,2.4318752353455292e-05,2.9565246625074395,0.001294963657473884,0.0,True,0.6265571231991908,201673.25180715555,-3.504294146790278e-06,0.0005386785091551235,2.889572466916015,1.522997974471263e-08,True,0.0,False
13,stationary_initial,201694.1091758647,201694.10917586475,1.1641532182693481e-10,-5.770574529208284e-05,2.792863299463984,0.0012935281733822933,-5.770591452702308e-05,2.792863299462948,0.001293528173381813,0.0,True,0.6363770003659424,201693.5294347077,-4.333737824621364e-06,0.0005493539199705861,2.772285511094771,1.522997974471263e-08,True,1.7763568501960078e-07,False
14,stationary_initial,201503.96453252324,201503.96453252327,5.820766091346741e-11,-5.244011514873041e-05,2.909312807363604,0.0013036666457139005,-5.2440435384571114e-05,2.909312807363604,0.0013036666457139,0.0,True,0.6563626137288296,201503.88836299223,-7.067547583178108e-05,0.0005426820028829584,2.885460520738948,1.522997974471263e-08,True,0.0,False
