sample,anomaly_policy,frequency_minutes,n_pairs,aggregation_complete_bins_only,theta,kappa,sigma,lambda,half_life_minutes,effective_half_life_minutes
baseline,flagged_not_present_or_retained,5,524610,True,6.645813169280216e-05,1.6932467599786638,0.0013551372584547174,0.6968922483274012,589.4781337239342,417.60413789226243
baseline,flagged_not_present_or_retained,15,174578,True,6.679907830442022e-05,1.8504134965670318,0.001417076233174951,0.17835718503565004,539.4102139106202,491.9885470830148
baseline,flagged_not_present_or_retained,30,87068,True,6.539788447666217e-05,1.399177482642139,0.0012333433823591363,0.13231454509479618,713.3704997320978,651.7382538916947
baseline,flagged_not_present_or_retained,60,43322,True,6.646585200214876e-05,1.1310614303143016,0.0010943518675869076,0.07853576760693334,882.4736776047241,825.1771265026659
extended,flagged_not_present_or_retained,5,625690,True,0.0001144367534997207,5.846852320078616,0.0030893138672458747,0.3449908259960123,170.71269896430366,161.20110223384702
extended,flagged_not_present_or_retained,15,206458,True,0.00011678777625968052,4.6848125501248825,0.0027406180317944813,0.09598424756656082,213.05696424923428,208.77941109906624
extended,flagged_not_present_or_retained,30,102077,True,0.00011834690407889796,3.6177690990118476,0.002392572930827789,0.06022583819422404,275.8970826189404,271.3793675758933
extended,flagged_not_present_or_retained,60,50187,True,0.0001189473626185537,3.4351368521466523,0.0022458950903426946,0.03844979805889736,290.56540771660326,287.3490833882773
full,retain_raw_flagged,5,750220,True,-0.00010369568126248489,303.0897350705452,0.10351145019697848,6.14421750284176e-06,3.293189522812452,3.2931894560531068
full,exclude_flagged,5,750216,True,2.172511275483679e-06,2.7418099164945606,0.01262420439701879,1.7139046576166568,364.04126121275607,224.011642443551
