asset,frequency_minutes,price_proxy,period,start_utc,end_utc,observations,theoretical_bars,bar_coverage,exact_pairs,exact_pair_share_of_adjacent,tie_count,tie_rate,min_nonzero_price_change,p01_nonzero_price_change,modal_nonzero_price_change,zero_volume_rate,one_trade_or_less_rate,continuous_segments,median_segment_bars,p90_segment_bars,max_segment_bars
USDT,1,close,full,2017-03-29 17:05:00+00:00,2025-12-31 23:59:00+00:00,3388608,4606975,0.7355386126471275,3118363,0.9202492351576916,1508809,0.4838464925347049,9.99999993922529e-09,9.999999999843467e-06,0.0001,0.0,0.0835800423064574,270245,2.0,13.0,11273
USDT,1,ohlc_average,full,2017-03-29 17:05:00+00:00,2025-12-31 23:59:00+00:00,3388608,4606975,0.7355386126471275,3118363,0.9202492351576916,730425,0.2342334744223171,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-05,0.0,0.0835800423064574,270245,2.0,13.0,11273
USDT,1,typical_price,full,2017-03-29 17:05:00+00:00,2025-12-31 23:59:00+00:00,3388608,4606975,0.7355386126471275,3118363,0.9202492351576916,910520,0.2919865326775619,1.1102230246251565e-16,3.333333333133126e-06,3.33333e-05,0.0,0.0835800423064574,270245,2.0,13.0,11273
USDT,1,close,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:58:00+00:00,120248,399294,0.3011515324547827,85121,0.7078846041897096,27374,0.3215892670433853,5.0000000000105516e-05,9.999999999998899e-05,0.0001,0.0,0.18787838467167853,35127,1.0,5.0,1456
USDT,1,ohlc_average,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:58:00+00:00,120248,399294,0.3011515324547827,85121,0.7078846041897096,13382,0.15721149892505962,1.1102230246251565e-16,2.220446049250313e-16,5e-05,0.0,0.18787838467167853,35127,1.0,5.0,1456
USDT,1,typical_price,2017,2017-03-29 17:05:00+00:00,2017-12-31 23:58:00+00:00,120248,399294,0.3011515324547827,85121,0.7078846041897096,16371,0.19232621797206328,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.18787838467167853,35127,1.0,5.0,1456
USDT,1,close,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:59:00+00:00,118121,525600,0.2247355403348554,64081,0.542507619370132,22444,0.3502442221563334,4.999999998478444e-07,9.999999999998899e-05,0.0001,0.0,0.2619855910464693,54040,1.0,4.0,319
USDT,1,ohlc_average,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:59:00+00:00,118121,525600,0.2247355403348554,64081,0.542507619370132,11213,0.17498166383171299,1.1102230246251565e-16,2.4999999999941735e-05,5e-05,0.0,0.2619855910464693,54040,1.0,4.0,319
USDT,1,typical_price,2018,2018-01-01 00:00:00+00:00,2018-12-31 23:59:00+00:00,118121,525600,0.2247355403348554,64081,0.542507619370132,12103,0.188870335981024,1.1102230246251565e-16,3.333333333321864e-05,3.33333e-05,0.0,0.2619855910464693,54040,1.0,4.0,319
USDT,1,close,2019,2019-01-01 00:00:00+00:00,2019-12-31 23:56:00+00:00,161357,525597,0.30699756657667376,83459,0.5172351818339572,38857,0.46558190249104353,2.8840000000029953e-05,9.999999999998899e-05,0.0001,0.0,0.3649485302775832,77898,1.0,4.0,127
USDT,1,ohlc_average,2019,2019-01-01 00:00:00+00:00,2019-12-31 23:56:00+00:00,161357,525597,0.30699756657667376,83459,0.5172351818339572,26850,0.32171485400016775,1.1102230246251565e-16,2.4999999999941735e-05,0.0001,0.0,0.3649485302775832,77898,1.0,4.0,127
USDT,1,typical_price,2019,2019-01-01 00:00:00+00:00,2019-12-31 23:56:00+00:00,161357,525597,0.30699756657667376,83459,0.5172351818339572,26890,0.3221941312500749,1.1102230246251565e-16,3.333333333321864e-05,0.0001,0.0,0.3649485302775832,77898,1.0,4.0,127
USDT,1,close,2020,2020-01-01 00:05:00+00:00,2020-12-31 23:59:00+00:00,417797,527035,0.7927310330433462,359636,0.8607933058238949,183543,0.510357695002725,9.99999993922529e-09,9.999999999998899e-05,0.0001,0.0,0.16684179158778067,58161,2.0,13.0,3960
USDT,1,ohlc_average,2020,2020-01-01 00:05:00+00:00,2020-12-31 23:59:00+00:00,417797,527035,0.7927310330433462,359636,0.8607933058238949,93933,0.26118909119220546,1.1102230246251565e-16,1.1102230246251565e-16,5e-05,0.0,0.16684179158778067,58161,2.0,13.0,3960
USDT,1,typical_price,2020,2020-01-01 00:05:00+00:00,2020-12-31 23:59:00+00:00,417797,527035,0.7927310330433462,359636,0.8607933058238949,106082,0.2949704701420325,1.1102230246251565e-16,3.333000000016462e-05,3.33333e-05,0.0,0.16684179158778067,58161,2.0,13.0,3960
USDT,1,close,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,513629,525600,0.9772241248097413,505172,0.9835367230758447,300926,0.5956901807701139,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.03075955602195359,8457,8.0,116.0,8398
USDT,1,ohlc_average,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,513629,525600,0.9772241248097413,505172,0.9835367230758447,153042,0.3029502822800947,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-05,0.0,0.03075955602195359,8457,8.0,116.0,8398
USDT,1,typical_price,2021,2021-01-01 00:00:00+00:00,2021-12-31 23:59:00+00:00,513629,525600,0.9772241248097413,505172,0.9835367230758447,197735,0.3914211397306264,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.03075955602195359,8457,8.0,116.0,8398
USDT,1,close,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,503321,525600,0.9576122526636225,485811,0.9652129857744576,293648,0.6044490552910494,9.999999999998899e-05,9.999999999998899e-05,0.0001,0.0,0.07226004875616157,17510,7.0,50.0,5557
USDT,1,ohlc_average,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,503321,525600,0.9576122526636225,485811,0.9652129857744576,149990,0.3087414653023501,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-05,0.0,0.07226004875616157,17510,7.0,50.0,5557
USDT,1,typical_price,2022,2022-01-01 00:00:00+00:00,2022-12-31 23:59:00+00:00,503321,525600,0.9576122526636225,485811,0.9652129857744576,189206,0.38946421550767685,1.1102230246251565e-16,3.333333333310762e-05,3.33333e-05,0.0,0.07226004875616157,17510,7.0,50.0,5557
USDT,1,close,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,518949,525600,0.9873458904109589,513370,0.9892513315399616,220515,0.429543993610846,9.999999999843467e-06,9.999999999843467e-06,1e-05,0.0,0.029526986274181086,5579,19.0,165.0,5440
USDT,1,ohlc_average,2023,2023-01-01 00:00:00+00:00,2023-12-31 23:59:00+00:00,518949,525600,0.9873458904109589,513370,0.9892513315399616,97513,0.18994682198024818,1.1102230246251565e-16,1.1102230246251565e-16,2.5e-06,0.0,0.029526986274181086,5579,19.0,165.0,5440
